group,model,display_name,factor,factor_name,bin,accuracy,n_correct,n_incorrect,n,binom_se,ci_low_wilson,ci_high_wilson,chance_adjusted_accuracy,chance_adjusted_ci_low,chance_adjusted_ci_high
image,hunyuan,hunyuan,total_blocks,Number of objects,9-12,0.05611672278338945,50,841,891,0.007710214209144161,0.0428228594384208,0.07322181260185986,0.05611672278338945,0.0428228594384208,0.07322181260185986
image,hunyuan,hunyuan,total_blocks,Number of objects,13-18,0.009077155824508321,6,655,661,0.003688876247272911,0.004166536311710124,0.01966109420960503,0.009077155824508321,0.004166536311710124,0.01966109420960503
image,hunyuan,hunyuan,total_blocks,Number of objects,19-25,0.0,0,566,566,0.0,0.0,0.0067415225564437554,0.0,0.0,0.0067415225564437554
image,hunyuan,hunyuan,total_blocks,Number of objects,26+,0.0,0,346,346,0.0,0.0,0.010980969673132068,0.0,0.0,0.010980969673132068
image,hunyuan,hunyuan,num_hidden_blocks,Number of hidden objects,0,0.10730743910467412,163,1356,1519,0.007941215583836038,0.09272139577385463,0.12387473608910474,0.10730743910467412,0.09272139577385463,0.12387473608910474
image,hunyuan,hunyuan,num_hidden_blocks,Number of hidden objects,1,0.019569471624266144,10,501,511,0.006127559156983717,0.010663700019949464,0.0356449121823279,0.019569471624266144,0.010663700019949464,0.0356449121823279
image,hunyuan,hunyuan,num_hidden_blocks,Number of hidden objects,2-3,0.0069605568445475635,3,428,431,0.004004668821945242,0.0023699409183593183,0.020262668289223393,0.0069605568445475635,0.0023699409183593183,0.020262668289223393
image,hunyuan,hunyuan,num_hidden_blocks,Number of hidden objects,4+,0.0,0,539,539,0.0,0.0,0.00707683419988446,0.0,0.0,0.00707683419988446
image,hunyuan,hunyuan,num_layers,Number of layers,1,0.3160377358490566,67,145,212,0.03193137433359785,0.25719954389028377,0.38142433584374347,0.3160377358490566,0.25719954389028377,0.38142433584374347
image,hunyuan,hunyuan,num_layers,Number of layers,2,0.07903780068728522,92,1072,1164,0.007907912147167637,0.0648867200909964,0.09595838081994905,0.07903780068728522,0.0648867200909964,0.09595838081994905
image,hunyuan,hunyuan,num_layers,Number of layers,3,0.016283524904214558,17,1027,1044,0.003917048369870429,0.01019108001458128,0.025922775362032892,0.016283524904214558,0.01019108001458128,0.025922775362032892
image,hunyuan,hunyuan,num_layers,Number of layers,4,0.0,0,580,580,0.0,0.0,0.006579866867999813,0.0,0.0,0.006579866867999813
image,hunyuan,hunyuan,num_columns,Number of columns,3-5,0.3305084745762712,78,158,236,0.03062018712161059,0.27362840909794434,0.3928181122728271,0.3305084745762712,0.27362840909794434,0.3928181122728271
image,hunyuan,hunyuan,num_columns,Number of columns,6-8,0.06153846153846154,64,976,1040,0.00745186342789641,0.04848432763089794,0.07781989323939506,0.06153846153846154,0.04848432763089794,0.07781989323939506
image,hunyuan,hunyuan,num_columns,Number of columns,9-11,0.027960526315789474,34,1182,1216,0.00472767740245206,0.02007678460978113,0.038817419358996456,0.027960526315789474,0.02007678460978113,0.038817419358996456
image,hunyuan,hunyuan,num_columns,Number of columns,12-14,0.0,0,508,508,0.0,0.0,0.007505446997664902,0.0,0.0,0.007505446997664902
image,hunyuan,hunyuan,fill_ratio,Fill ratio,Dense,0.09940828402366864,84,761,845,0.010293116967789187,0.08101095559478015,0.12143152601780809,0.09940828402366864,0.08101095559478015,0.12143152601780809
image,hunyuan,hunyuan,fill_ratio,Fill ratio,Medium,0.05018450184501845,68,1287,1355,0.005931093725610997,0.039778235149171774,0.06313412785178434,0.05018450184501845,0.039778235149171774,0.06313412785178434
image,hunyuan,hunyuan,fill_ratio,Fill ratio,Sparse,0.03,24,776,800,0.006031169040907409,0.020241338615343545,0.044250969321941606,0.03,0.020241338615343545,0.044250969321941606
image,qwen-image-edit,Qwen Image Edit,total_blocks,Number of objects,4-8,0.36007462686567165,193,343,536,0.020733782097388208,0.3205647570390854,0.40157595979340777,0.36007462686567165,0.3205647570390854,0.40157595979340777
image,qwen-image-edit,Qwen Image Edit,total_blocks,Number of objects,9-12,0.16049382716049382,143,748,891,0.012297087452920364,0.13785672063809845,0.1860459678377167,0.16049382716049382,0.13785672063809845,0.1860459678377167
image,qwen-image-edit,Qwen Image Edit,total_blocks,Number of objects,13-18,0.03177004538577912,21,640,661,0.006821775848089734,0.020871830159250572,0.04807933053827498,0.03177004538577912,0.020871830159250572,0.04807933053827498
image,qwen-image-edit,Qwen Image Edit,total_blocks,Number of objects,19-25,0.007067137809187279,4,562,566,0.0035210606568290355,0.002751559548392515,0.01802895208852553,0.007067137809187279,0.002751559548392515,0.01802895208852553
image,qwen-image-edit,Qwen Image Edit,total_blocks,Number of objects,26+,0.0,0,346,346,0.0,0.0,0.010980969673132068,0.0,0.0,0.010980969673132068
image,qwen-image-edit,Qwen Image Edit,num_hidden_blocks,Number of hidden objects,0,0.2073732718894009,315,1204,1519,0.010402359521018917,0.18773519955037898,0.2284877352578112,0.2073732718894009,0.18773519955037898,0.2284877352578112
image,qwen-image-edit,Qwen Image Edit,num_hidden_blocks,Number of hidden objects,1,0.07045009784735812,36,475,511,0.011320528567443002,0.05131881566817274,0.09599173577133797,0.07045009784735812,0.05131881566817274,0.09599173577133797
image,qwen-image-edit,Qwen Image Edit,num_hidden_blocks,Number of hidden objects,2-3,0.02320185614849188,10,421,431,0.007251454773598324,0.012650526595395796,0.04217771430887831,0.02320185614849188,0.012650526595395796,0.04217771430887831
image,qwen-image-edit,Qwen Image Edit,num_hidden_blocks,Number of hidden objects,4+,0.0,0,539,539,0.0,0.0,0.00707683419988446,0.0,0.0,0.00707683419988446
image,qwen-image-edit,Qwen Image Edit,num_layers,Number of layers,1,0.36792452830188677,78,134,212,0.03312042562047931,0.30589656276334753,0.43465391499441564,0.36792452830188677,0.30589656276334753,0.43465391499441564
image,qwen-image-edit,Qwen Image Edit,num_layers,Number of layers,2,0.2027491408934708,236,928,1164,0.011784211245302302,0.18064718754697098,0.22680670003504352,0.2027491408934708,0.18064718754697098,0.22680670003504352
image,qwen-image-edit,Qwen Image Edit,num_layers,Number of layers,3,0.040229885057471264,42,1002,1044,0.006081458647193361,0.029898896078194084,0.05393209517086493,0.040229885057471264,0.029898896078194084,0.05393209517086493
image,qwen-image-edit,Qwen Image Edit,num_layers,Number of layers,4,0.008620689655172414,5,575,580,0.0038386360196625917,0.0036876495076361444,0.020020150690225738,0.008620689655172414,0.0036876495076361444,0.020020150690225738
image,qwen-image-edit,Qwen Image Edit,num_columns,Number of columns,3-5,0.4745762711864407,112,124,236,0.03250512567228818,0.41178441996803694,0.5381825582375788,0.4745762711864407,0.41178441996803694,0.5381825582375788
image,qwen-image-edit,Qwen Image Edit,num_columns,Number of columns,6-8,0.16442307692307692,171,869,1040,0.011493649111667682,0.14313813422694358,0.18817803481632892,0.16442307692307692,0.14313813422694358,0.18817803481632892
image,qwen-image-edit,Qwen Image Edit,num_columns,Number of columns,9-11,0.05838815789473684,71,1145,1216,0.006724059616333719,0.04654722852766322,0.07301058947100153,0.05838815789473684,0.04654722852766322,0.07301058947100153
image,qwen-image-edit,Qwen Image Edit,num_columns,Number of columns,12-14,0.013779527559055118,7,501,508,0.005172164326230196,0.006690402325649778,0.028167256762630655,0.013779527559055118,0.006690402325649778,0.028167256762630655
image,qwen-image-edit,Qwen Image Edit,fill_ratio,Fill ratio,Dense,0.1467455621301775,124,721,845,0.012172881982897765,0.12448586177876764,0.17220270767871415,0.1467455621301775,0.12448586177876764,0.17220270767871415
image,qwen-image-edit,Qwen Image Edit,fill_ratio,Fill ratio,Medium,0.12619926199261994,171,1184,1355,0.00902121355043827,0.10956787557333923,0.14494420295001478,0.12619926199261994,0.10956787557333923,0.14494420295001478
image,qwen-image-edit,Qwen Image Edit,fill_ratio,Fill ratio,Sparse,0.0825,66,734,800,0.009727136654740695,0.06537130730778014,0.1036192002748083,0.0825,0.06537130730778014,0.1036192002748083
