group,model,display_name,task,source_task,task_name,factor,low_level,high_level,delta_high_minus_low,se,p_value,ci_low,ci_high,n_low,n_high
text,gemini,Gemini,Target2a,task10,Mental Rotation 90,perspective,0.0,1.0,-0.01799999999999996,0.017711505523667553,0.3095740212706413,-0.052714550826388366,0.016714550826388445,1500,1500
text,gemini,Gemini,Target2a,task10,Mental Rotation 90,offset,3.0,12.5,-0.02999999999999997,0.017706080871540037,0.09030587992128168,-0.06470391850821844,0.004703918508218503,1500,1500
text,gemini,Gemini,Target2b,task11,Mental Rotation 180,perspective,0.0,1.0,-0.026441627751834562,0.017427367460160877,0.12930973398429518,-0.06059926797374988,0.007716012470080753,1500,1499
text,gemini,Gemini,Target2b,task11,Mental Rotation 180,offset,3.0,12.5,-0.013571714476317553,0.017432449072834498,0.4363170838455348,-0.04773931465907317,0.020595885706438062,1499,1500
text,glm,GLM,Task2,task9,Cluster Count,perspective,0.0,1.0,0.03,0.014858979336370535,0.04357826734496961,0.0008764005007137511,0.05912359949928625,1500,1500
text,glm,GLM,Task2,task9,Cluster Count,offset,3.0,12.5,-0.004666666666666652,0.014868833274676089,0.7536525470286511,-0.03380957988503179,0.024476246551698482,1500,1500
text,glm,GLM,Task3,task3,Column Count,perspective,0.0,1.0,0.003333333333333334,0.005237039305124468,0.5245047139018268,-0.006931263704710623,0.013597930371377291,1500,1500
text,glm,GLM,Task3,task3,Column Count,offset,3.0,12.5,0.0006666666666666661,0.005237378982938489,0.8987193083015261,-0.009598596139892772,0.010931929473226104,1500,1500
text,glm,GLM,Task4,task4,Layer Count,perspective,0.0,1.0,0.004666666666666652,0.014868833274676089,0.7536525470286514,-0.024476246551698482,0.03380957988503179,1500,1500
text,glm,GLM,Task4,task4,Layer Count,offset,3.0,12.5,-0.007333333333333358,0.014868474338935827,0.6218978196936917,-0.03647554303764758,0.021808876370980862,1500,1500
text,glm,GLM,Task5,task5,Visible Object Count,perspective,0.0,1.0,-0.007333333333333331,0.006128004762480748,0.23152273440781046,-0.019344222667795598,0.004677556001128935,1500,1500
text,glm,GLM,Task5,task5,Visible Object Count,offset,3.0,12.5,0.0006666666666666661,0.0061294560938571765,0.913396633810037,-0.011347067277293399,0.012680400610626731,1500,1500
text,glm,GLM,Task6,task2,Top Layer,perspective,0.0,1.0,0.006000000000000005,0.01563658702384746,0.7012165727488455,-0.024647710566741015,0.03664771056674103,1500,1500
text,glm,GLM,Task6,task2,Top Layer,offset,3.0,12.5,-0.02466666666666667,0.015630480211586598,0.114645241098657,-0.0553024078813764,0.00596907454804306,1500,1500
text,glm,GLM,Task7,task6,Direct Support,perspective,0.0,1.0,-0.014000000000000012,0.013664629926821568,0.30566165444643223,-0.04078267465657029,0.01278267465657026,1500,1500
text,glm,GLM,Task7,task6,Direct Support,offset,3.0,12.5,0.004666666666666652,0.013666756156928351,0.7327803586153612,-0.022120175400912916,0.031453508734246224,1500,1500
text,glm,GLM,Task8,task7,Support Column,perspective,0.0,1.0,-0.015999999999999986,0.012894605353848081,0.21476622162457187,-0.04127342649354222,0.009273426493542253,1500,1500
text,glm,GLM,Task8,task7,Support Column,offset,3.0,12.5,-0.011999999999999983,0.012896053872030525,0.3521783675750043,-0.03727626558917981,0.013276265589179846,1500,1500
text,glm,GLM,Task9,task8,Hidden Object Count,perspective,0.0,1.0,0.0020000000000000018,0.013513953399215543,0.882356522876164,-0.024487348662462462,0.028487348662462466,1500,1500
text,glm,GLM,Task9,task8,Hidden Object Count,offset,3.0,12.5,0.008666666666666684,0.013513075777166886,0.5213416906101993,-0.017818961856580412,0.03515229518991378,1500,1500
text,glm,GLM,Target1,main,Object Counting,perspective,0.0,1.0,-0.010000000000000002,0.00671044111913235,0.13627490598092187,-0.023152464593499407,0.003152464593499403,1500,1500
text,glm,GLM,Target1,main,Object Counting,offset,3.0,12.5,0.0006666666666666696,0.006712914965701786,0.9208979415325088,-0.01249064666610883,0.01382397999944217,1500,1500
text,glm,GLM,Target2a,task10,Mental Rotation 90,perspective,0.0,1.0,-0.012666666666666666,0.006708938695809838,0.05912156346285994,-0.025816186510453948,0.00048285317712061515,1500,1500
text,glm,GLM,Target2a,task10,Mental Rotation 90,offset,3.0,12.5,-0.001999999999999995,0.006712826629737078,0.7657718431627653,-0.015157140194284668,0.011157140194284678,1500,1500
text,glm,GLM,Target2b,task11,Mental Rotation 180,perspective,0.0,1.0,-0.01266666666666667,0.005986543851533958,0.03444334236866174,-0.024400292615673228,-0.0009330407176601115,1500,1500
text,glm,GLM,Target2b,task11,Mental Rotation 180,offset,3.0,12.5,0.0006666666666666661,0.005990999599311241,0.9114033222527604,-0.011075692547983365,0.012409025881316697,1500,1500
text,gpt,GPT,Task2,task9,Cluster Count,perspective,0.0,1.0,0.01733333333333331,0.01807740790598072,0.3377169104440818,-0.018098386162388902,0.052765052829055525,1500,1500
text,gpt,GPT,Task2,task9,Cluster Count,offset,3.0,12.5,-0.0040000000000000036,0.018080031932108793,0.8249217630154256,-0.039436862586933234,0.03143686258693323,1500,1500
text,gpt,GPT,Task3,task3,Column Count,perspective,0.0,1.0,-0.03066666666666666,0.01067875121547701,0.004111361417152436,-0.0515970190490016,-0.009736314284331724,1500,1500
text,gpt,GPT,Task3,task3,Column Count,offset,3.0,12.5,0.0013333333333333391,0.010693401009159234,0.9007793212654984,-0.019625732644618758,0.022292399311285436,1500,1500
text,gpt,GPT,Task4,task4,Layer Count,perspective,0.0,1.0,-0.005333333333333301,0.017398860079707347,0.7592197703928428,-0.0394350990895597,0.0287684324228931,1500,1500
text,gpt,GPT,Task4,task4,Layer Count,offset,3.0,12.5,0.01866666666666661,0.017395792429435838,0.28333218174744884,-0.015429086495027632,0.05276241982836085,1500,1500
text,gpt,GPT,Task5,task5,Visible Object Count,perspective,0.0,1.0,-0.036000000000000004,0.010255674525877266,0.0004545153222808917,-0.05610112207071945,-0.01589887792928056,1500,1500
text,gpt,GPT,Task5,task5,Visible Object Count,offset,3.0,12.5,-0.0013333333333333391,0.010276699625119833,0.8967781962373647,-0.02147566459856821,0.018808997931901533,1500,1500
text,gpt,GPT,Task6,task2,Top Layer,perspective,0.0,1.0,0.08666666666666667,0.017524069874878267,8.011039674526341e-07,0.05231948971190527,0.12101384362142807,1500,1500
text,gpt,GPT,Task6,task2,Top Layer,offset,3.0,12.5,-0.0040000000000000036,0.01759525680521205,0.8201795427712346,-0.03848670333821562,0.030486703338215612,1500,1500
text,gpt,GPT,Task7,task6,Direct Support,perspective,0.0,1.0,0.06466666666666665,0.017165460318457983,0.000168234820617351,0.031022364442489007,0.09831096889084429,1500,1500
text,gpt,GPT,Task7,task6,Direct Support,offset,3.0,12.5,-0.014000000000000012,0.01720414214241509,0.4158485089274454,-0.04772011859913359,0.019720118599133564,1500,1500
text,gpt,GPT,Task8,task7,Support Column,perspective,0.0,1.0,0.04666666666666669,0.01700822353824073,0.006109998117781939,0.013330548531714864,0.08000278480161852,1500,1500
text,gpt,GPT,Task8,task7,Support Column,offset,3.0,12.5,0.018666666666666665,0.017026152016655298,0.27301256125731127,-0.014704591285977717,0.052037924619311046,1500,1500
text,gpt,GPT,Task9,task8,Hidden Object Count,perspective,0.0,1.0,0.0020000000000000018,0.01823812381197313,0.9126860444953542,-0.03374672267146733,0.037746722671467337,1500,1500
text,gpt,GPT,Task9,task8,Hidden Object Count,offset,3.0,12.5,-0.0006666666666666488,0.018238156325591056,0.9708435317912394,-0.036413453064825116,0.03508011973149182,1500,1500
text,gpt,GPT,Target1,main,Object Counting,perspective,0.0,1.0,-0.029333333333333336,0.01008130905348399,0.003645370097061212,-0.04909269907816195,-0.009573967588504716,1500,1500
text,gpt,GPT,Target1,main,Object Counting,offset,3.0,12.5,-0.0026666666666666644,0.010095416109920206,0.7916853589085299,-0.02245368224211027,0.01712034890877694,1500,1500
text,gpt,GPT,Target2a,task10,Mental Rotation 90,perspective,0.0,1.0,0.02266666666666667,0.017424998379545587,0.19342242154595055,-0.01148633015724268,0.05681966349057602,1500,1500
text,gpt,GPT,Target2a,task10,Mental Rotation 90,offset,3.0,12.5,0.0040000000000000036,0.017429762050704255,0.8185017894925014,-0.030162333619380338,0.038162333619380345,1500,1500
text,gpt,GPT,Target2b,task11,Mental Rotation 180,perspective,0.0,1.0,0.01733333333333331,0.01698854842402397,0.30767085171140063,-0.015964221577753672,0.050630888244420295,1500,1500
text,gpt,GPT,Target2b,task11,Mental Rotation 180,offset,3.0,12.5,0.005333333333333357,0.016991218458569754,0.7536282226896478,-0.027969454845463364,0.03863612151213008,1500,1500
text,human,Human,Task2,task9,Cluster Count,perspective,0.0,1.0,0.0040000000000000036,0.016517518098106206,0.8086672254349725,-0.02837433547228816,0.03637433547228817,1500,1500
text,human,Human,Task2,task9,Cluster Count,offset,3.0,12.5,0.0,0.016517679649773055,1.0,-0.03237465211355519,0.03237465211355519,1500,1500
text,human,Human,Task3,task3,Column Count,perspective,0.0,1.0,-0.05466666666666664,0.017567059692580322,0.0018764909489453311,-0.08909810366412407,-0.02023522966920921,1500,1500
text,human,Human,Task3,task3,Column Count,offset,3.0,12.5,0.014666666666666606,0.017593369415622447,0.40454612434018966,-0.019816337387953388,0.0491496707212866,1500,1500
