group,model,display_name,task,source_task,task_name,accuracy,n_correct,n_incorrect,n,binom_se,ci_low_wilson,ci_high_wilson,chance_level,chance_adjusted_accuracy,chance_adjusted_ci_low,chance_adjusted_ci_high,above_chance_p
mcq345,qwen3CQ,Qwen 3CQ,Task2,task9,Cluster Count,0.292,876,2124,3000,0.008301325195413078,0.2760036446758413,0.3085283759207174,0.3333333333333333,-0.06199999999999999,-0.08599453298623798,-0.037207436118923846,0.9999994539087864
mcq345,qwen3CQ,Qwen 3CQ,Task3,task3,Column Count,0.358,1074,1926,3000,0.008752828114386801,0.3410360718793468,0.37532713448945776,0.3333333333333333,0.037,0.011554107819020247,0.06299070173418665,0.002311822516665419
mcq345,qwen3CQ,Qwen 3CQ,Task4,task4,Layer Count,0.346,1038,1962,3000,0.008684929475821897,0.3291842365717625,0.36320966329299736,0.3333333333333333,0.018999999999999986,-0.006223645142356237,0.04481449493949607,0.07352172107599649
mcq345,qwen3CQ,Qwen 3CQ,Task5,task5,Visible Object Count,0.577,1731,1269,3000,0.009019811527964428,0.5592337283085951,0.5945693217590249,0.3333333333333333,0.36549999999999994,0.3388505924628926,0.3918539826385373,3.877407938838963e-164
mcq345,qwen3CQ,Qwen 3CQ,Task6,task2,Top Layer,0.39866666666666667,1196,1804,3000,0.008939268343579273,0.38128602322456434,0.41630649963016947,0.3333333333333333,0.09800000000000002,0.07192903483684653,0.12445974944525422,4.1327348575485204e-14
mcq345,qwen3CQ,Qwen 3CQ,Task7,task6,Direct Support,0.5476666666666666,1643,1357,3000,0.00908713172364982,0.5298062161110325,0.5654051958355893,0.3333333333333333,0.32149999999999995,0.29470932416654877,0.348107793753384,4.903677830345706e-128
mcq345,qwen3CQ,Qwen 3CQ,Task8,task7,Support Column,0.5023333333333333,1507,1493,3000,0.0091286098897104,0.484449718319749,0.5202109801671485,0.3333333333333333,0.25349999999999995,0.22667457747962347,0.28031647025072276,4.067679523254303e-81
mcq345,qwen3CQ,Qwen 3CQ,Task9,task8,Hidden Object Count,0.194,582,2418,3000,0.007219510602065304,0.18024473858178047,0.20853794556508004,0.3333333333333333,-0.20899999999999994,-0.22963289212732924,-0.18719308165237988,1.0
mcq345,qwen3CQ,Qwen 3CQ,Target1,main,Object Counting,0.4703333333333333,1411,1589,3000,0.00911262656773353,0.45252191017926774,0.4882206376301775,0.3333333333333333,0.2055,0.1787828652689016,0.23233095644526622,1.9522250104479945e-54
mcq345,qwen3CQ,Qwen 3CQ,Target2a,task10,Mental Rotation 90,0.19833333333333333,595,2405,3000,0.007280046296149089,0.1844541519270929,0.21298411512400595,0.3333333333333333,-0.20249999999999996,-0.22331877210936057,-0.18052382731399103,1.0
