modality,model,task,task_display,perspective_delta,t_perspective,p_perspective,n_struct_perspective,offset_delta,t_offset,p_offset,n_struct_offset,p_perspective_fdr,p_offset_fdr
text,kimi,task2,Top Layer,0.04133333333333333,3.3857962488184543,0.0007467235146979564,750,-0.009333333333333334,-0.813550015270522,0.41616132546947404,750,0.00410697933083876,0.7570763009554318
text,kimi,task3,Column Count,-0.023333333333333334,-3.0286889508184553,0.002540543219454582,750,-0.004666666666666667,-0.6414371175470653,0.5214349552624995,750,0.0057318948413743916,0.7570763009554318
text,kimi,task4,Layer Count,-0.024666666666666667,-1.7889955348480193,0.07401952551857417,750,0.002,0.15046754745044932,0.8804362636934415,750,0.10177684758803948,0.8804362636934416
text,kimi,task5,Visible Object Count,-0.025333333333333333,-2.964647812680462,0.0031264880952951227,750,-0.016,-1.8658401707932213,0.06245441729613453,750,0.0057318948413743916,0.6869985902574799
text,kimi,task6,Direct Support,0.04733333333333333,3.791069811591135,0.00016206569790878,750,0.006,0.470837034458368,0.6378942044542374,750,0.00178272267699658,0.7570763009554318
text,kimi,task7,Support Column,0.04,2.986078811194819,0.002917912409605802,750,-0.006666666666666667,-0.5297447019385112,0.5964459349470252,750,0.0057318948413743916,0.7570763009554318
text,kimi,task8,Hidden Object Count,0.015333333333333332,1.085566235907704,0.2780202078245167,750,0.01,0.7723314607860301,0.44016176253241956,750,0.3058222286069684,0.7570763009554318
text,kimi,task9,task9,0.015333333333333332,1.8748491421230218,0.06120240550809217,750,0.0033333333333333335,0.40138499736660765,0.6882511826867561,750,0.0961752086555734,0.7570763009554318
text,kimi,task10,task10,-0.002,-0.15161766977419944,0.8795293235908197,750,-0.006,-0.45725441951784923,0.647620781352558,750,0.8795293235908197,0.7570763009554318
text,kimi,task11,task11,0.017333333333333333,1.3380000408859483,0.18130249377947472,750,-0.010666666666666666,-0.8502332936595743,0.3954670965754543,750,0.2215919368415802,0.7570763009554318
text,kimi,main,Object Counting,-0.028,-3.0971801416949867,0.0020266242976603893,750,-0.006666666666666667,-0.7330093628108963,0.46378205871701106,750,0.0057318948413743916,0.7570763009554318
text,qwen3b,task2,Top Layer,0.0006666666666666666,0.067839360368674,0.9459316160162746,750,-0.006,-0.7471891949989332,0.45518385868005196,750,0.9459316160162746,0.8860996638648567
text,qwen3b,task3,Column Count,0.0,,,750,0.0,,,750,,
text,qwen3b,task4,Layer Count,0.024,3.0375769130852697,0.0024676989538982984,750,0.008,1.0865597594532006,0.2775809689788312,750,0.024676989538982983,0.8860996638648567
text,qwen3b,task5,Visible Object Count,0.0006666666666666666,0.4469749542900623,0.6550223596973681,750,-0.0006666666666666666,-0.4469749542900623,0.6550223596973681,750,0.8187779496217101,0.8860996638648567
text,qwen3b,task6,Direct Support,-0.0006666666666666666,-0.06815416382327569,0.945681103597251,750,-0.0033333333333333335,-0.37350309668512366,0.7088797310918854,750,0.9459316160162746,0.8860996638648567
